UID,FRP,Previous_Box,NMR_Sample_map
2022-03-27_2710_11,"Box_5_2024_39,Box_6_2024_56,Box_6_2024_69",NA,NMR_B5_66
2022-12-14_3833_14,"Box_5_2024_45,Box_6_2024_48",NA,NMR_B5_67
2022-03-17_3278_3,"Box_5_2024_53,Box_10_2024_8",NA,NMR_B5_68
2022-12-10_3658_25,"Box_5_2024_56,Box_5_2024_58",NA,NMR_B5_69
2022-12-13_3695_24,"Box_5_2024_59,Box_7_2024_38",NA,NMR_B5_70
2022-12-12_3839_16,"Box_5_2024_64,Box_5_2024_36",NA,NMR_B5_71
2022-03-17_2664_10,"Box_5_2024_67,Box_6_2024_32",NA,NMR_B5_72
2022-03-14_3209_3,Box_5_2024_69,NA,NMR_B5_73
2022-03-15_2886_18,Box_5_2024_70,NA,NMR_B5_74
2022-03-22_2954_1,Box_5_2024_73,NA,NMR_B5_75
2022-03-19_2686_8,Box_5_2024_75,NA,NMR_B5_76
2022-12-14_3665_7,"Box_5_2024_8,Box_8_2024_27",NA,NMR_B5_77
2022-03-15_2654_13,Box_5_2024_81,NA,NMR_B5_78
2022-12-08_3847_9,"Box_5_2024_9,Box_9_2024_53",NA,NMR_B5_79
2022-12-10_3867_22,"Box_5_2024_21,Box_5_2024_33",NA,NMR_B5_80
2022-03-14_2527_8,"Box_6_2024_26,Box_6_2024_13",NA,NMR_B6_1
2022-03-17_2554_14,"Box_6_2024_28,Box_6_2024_35,Box_6_2024_27",NA,NMR_B6_2
2022-03-26_2729_1,Box_6_2024_30,NA,NMR_B6_3
2022-03-15_2566_10,"Box_6_2024_31,Box_6_2024_23,Box_6_2024_37",NA,NMR_B6_4
2956_12,Box_6_2024_34,NA,NMR_B6_5
2022-03-26_2752_6,"Box_6_2024_42,Box_6_2024_61",NA,NMR_B6_6
2022-03-30_2716_18,"Box_6_2024_44,Box_6_2024_68",NA,NMR_B6_7
3649_NA,"Box_6_2024_45,Box_9_2024_20",NA,NMR_B6_8
2022-03-31_2750_5,"Box_6_2024_50,Box_7_2024_44",NA,NMR_B6_9
2022-03-26_2761_9,Box_6_2024_53,NA,NMR_B6_10
2022-03-30_2737_12,"Box_6_2024_54,Box_6_2024_77",NA,NMR_B6_11
2022-03-27_2743_1,"Box_6_2024_55,Box_6_2024_51",NA,NMR_B6_12
2022-12-12_3822_22,"Box_6_2024_57,Box_5_2024_35,Box_9_2024_4",NA,NMR_B6_13
2022-03-27_2722_6,"Box_6_2024_65,Box_10_2024_13",NA,NMR_B6_14
2022-03-31_2762_16,Box_6_2024_66,NA,NMR_B6_15
2022-03-31_2711_7,Box_6_2024_67,NA,NMR_B6_16
2022-12-08_3796_11,"Box_6_2024_7,Box_7_2024_18",NA,NMR_B6_17
2022-03-26_2942_3,Box_6_2024_70,NA,NMR_B6_18
2022-03-30_2679_3,Box_6_2024_73,NA,NMR_B6_19
2022-03-21_2943_5,Box_6_2024_74,NA,NMR_B6_20
2022-03-26_2763_5,Box_6_2024_79,NA,NMR_B6_21
2022-03-31_2724_3,"Box_6_2024_80,Box_6_2024_40",NA,NMR_B6_22
2022-03-15_2591_1,Box_6_2024_9,NA,NMR_B6_23
2022-12-10_3829_18,"Box_7_2024_13,Box_7_2024_66",NA,NMR_B6_24
2022-12-10_3674_6,"Box_7_2024_20,Box_7_2024_39",NA,NMR_B6_25
2022-12-09_3778_12,"Box_7_2024_25,Box_7_2024_41",NA,NMR_B6_26
2022-12-08_3837_8,"Box_7_2024_28,Box_8_2024_6",NA,NMR_B6_27
2022-12-10_3804_3,"Box_7_2024_32,Box_8_2024_8",NA,NMR_B6_28
2022-03-22_2959_6,"Box_7_2024_33,Box_9_2024_35,Box_10_2024_32",NA,NMR_B6_29
2022-12-13_3824_21,"Box_7_2024_4,Box_7_2024_53",NA,NMR_B6_30
2022-12-12_3617_11,"Box_5_2024_12,Box_7_2024_67",NA,NMR_B6_31
2022-12-14_3633_13,Box_7_2024_47,Mixed_Box_3_16,NMR_B6_32
2022-12-08_3810_10,"Box_7_2024_48,Box_5_2024_78",NA,NMR_B6_33
2022-12-09_3797_1,"Box_7_2024_5,Box_9_2024_73",NA,NMR_B6_34
2022-12-10_3863_15,"Box_5_2024_50,Box_7_2024_50",NA,NMR_B6_35
2022-03-26_2741_7,Box_7_2024_51,NA,NMR_B6_36
3827_NA,"Box_8_2024_43,Box_7_2024_52",NA,NMR_B6_37
2022-12-09_3858_11,"Box_7_2024_54,Box_8_2024_30",NA,NMR_B6_38
2022-12-10_3684_14,"Box_7_2024_56,Box_7_2024_15",NA,NMR_B6_39
2022-12-14_3848_2,"Box_7_2024_61,Box_7_2024_26",NA,NMR_B6_40
2022-12-12_3795_18,"Box_5_2024_63,Box_7_2024_70",NA,NMR_B6_41
2022-12-10_3802_9,"Box_7_2024_72,Box_7_2024_31",NA,NMR_B6_42
2022-12-10_3818_8,"Box_7_2024_75,Box_9_2024_51",NA,NMR_B6_43
2022-03-22_2965_5,Box_7_2024_77,NA,NMR_B6_44
2022-12-12_3745_4,"Box_7_2024_78,Box_7_2024_16",NA,NMR_B6_45
2022-12-13_3815_13,"Box_7_2024_80,Box_7_2024_36",NA,NMR_B6_46
2022-12-08_3618_21,"Box_7_2024_81,Box_8_2024_26",NA,NMR_B6_47
2022-12-13_3805_5,"Box_7_2024_9,Box_6_2024_3",NA,NMR_B6_48
2022-12-08_3855_1,"Box_5_2024_29,Box_8_2024_11",NA,NMR_B6_49
2022-12-13_3675_10,"Box_8_2024_20,Box_7_2024_27",NA,NMR_B6_50
2022-03-19_2685_2,Box_8_2024_29,NA,NMR_B6_51
2022-12-13_3844_20,"Box_5_2024_76,Box_8_2024_35",NA,NMR_B6_52
2022-12-12_3680_6,"Box_8_2024_36,Box_8_2024_55",NA,NMR_B6_53
2022-12-12_3780_23,"Box_8_2024_39,Box_5_2024_25",NA,NMR_B6_54
3813_18,"Box_8_2024_4,Box_7_2024_7",NA,NMR_B6_55
2022-12-14_3832_11,"Box_8_2024_44,Box_9_2024_76,Box_9_2024_13",NA,NMR_B6_56
2022-12-14_3803_1,"Box_8_2024_52,Box_9_2024_80",NA,NMR_B6_57
2022-12-10_3825_12,"Box_8_2024_7,Box_7_2024_8",NA,NMR_B6_58
2022-03-22_2953_2,Box_8_2024_9,NA,NMR_B6_59
2022-12-09_3647_22,"Box_9_2024_12,Box_7_2024_23",NA,NMR_B6_60
2022-12-12_3809_1,"Box_9_2024_14,Box_9_2024_38",NA,NMR_B6_61
2022-12-09_3857_25,"Box_9_2024_17,Box_7_2024_10",NA,NMR_B6_62
2022-12-13_3659_14,"Box_9_2024_2,Box_8_2024_17",NA,NMR_B6_63
2022-12-12_3850_12,"Box_9_2024_21,Box_7_2024_11,Box_7_2024_21",NA,NMR_B6_64
2022-03-26_2707_18,Box_9_2024_23,NA,NMR_B6_65
2023-08-09_5485_13,Box_12_55,p5ml_Box_1_14,NMR_B6_69
2023-09-28_5874_3,Box_6_57,p5ml_Box_1_17,NMR_B6_70
2023-08-09_5301_20,Box_6_43,p5ml_Box_1_2,NMR_B6_71
2023-09-30_5833_10,Box_3_20,p5ml_Box_1_62,NMR_B6_72
2023-08-08_5353_2,Box_8_22,p5ml_Box_1_78,NMR_B6_73
2023-07-04_5223_8,NA,p5ml_Box_2_22,NMR_B6_74
2023-08-07_5307_1,Box_12_61,p5ml_Box_2_28,NMR_B6_75
2023-07-04_5021_7,NA,p5ml_Box_2_37,NMR_B6_77
2023-08-06_5548_17,NA,p5ml_Box_2_4,NMR_B6_78
2023-08-06_5313_25,Box_11_3,p5ml_Box_2_51,NMR_B6_79
2023-08-07_5305_25,Box_9_12,p5ml_Box_2_6,NMR_B6_80
2023-10-02_5952_8,NA,p5ml_Box_2_62,NMR_B6_81
2023-10-01_5870_19,Box_3_13,p5ml_Box_3_10,NMR_B7_1
2023-07-03_5067_5,NA,p5ml_Box_3_26,NMR_B7_2
2023-09-29_5807_21,Box_1_38,p5ml_Box_3_32,NMR_B7_3
2023-09-04_5714_2,Box_10_27,p5ml_Box_3_64,NMR_B7_4
2023-07-03_5163_8,NA,p5ml_Box_3_66,NMR_B7_5
2023-08-31_5481_22,Box_11_81,p5ml_Box_3_70,NMR_B7_6
2023-08-06_5472_10,Box_7_35,p5ml_Box_4_56,NMR_B7_7
2023-10-02_5861_13,NA,p5ml_Box_4_57,NMR_B7_8
2023-08-09_5276_4,Box_8_21,p5ml_Box_4_79,NMR_B7_9
2023-07-03_5083_6,Box_1_5,p5ml_Box_5_27,NMR_B7_10
2023-07-04_5362_10,Box_3_62,p5ml_Box_5_33,NMR_B7_11
2023-08-09_5280_22,Box_8_31,p5ml_Box_5_47,NMR_B7_12
2023-07-03_5022_12,Box_10_30,p5ml_Box_5_67,NMR_B7_13
2023-09-29_6007_6,Box_9_47,p5ml_Box_5_77,NMR_B7_14
2023-08-06_5491_24,Box_12_35,p5ml_Box_5_79,NMR_B7_15
2023-07-03_5388_10,Box_8_2,p5ml_Box_5_81,NMR_B7_16
2023-07-03_5388_10,Box_8_2,p5ml_Box_5_81,NMR_B7_17
2023-08-08_5332_1,Box_6_1,p5ml_Box_6_29,NMR_B7_18
2023-07-03_5363_9,Box_1_2,p5ml_Box_6_5,NMR_B7_19
2023-10-17_5872_8,NA,p5ml_Box_6_64,NMR_B7_20
2023-10-20_5924_15,NA,p5ml_Box_6_81,NMR_B7_21
2023-10-19_6106_8,NA,p5ml_Box_7_14,NMR_B7_22
2023-10-23_6137_1,NA,p5ml_Box_7_34,NMR_B7_23
2023-08-06_5504_4,NA,p5ml_Box_1_22,NMR_B7_28
2023-08-08_5351_24,"Box_11_14,Box_12_40",p5ml_Box_1_55,NMR_B7_29
2023-08-08_5546_11,NA,p5ml_Box_1_67,NMR_B7_30
2023-08-09_5456_8,NA,p5ml_Box_2_23,NMR_B7_31
2023-02-18_5194_5,Box_7_2,p5ml_Box_2_27,NMR_B7_32
2023-08-09_5401_21,Box_8_32,p5ml_Box_2_33,NMR_B7_33
2023-09-29_5879_13,Box_10_58,p5ml_Box_2_35,NMR_B7_34
2023-07-04_5366_3,Box_10_7,p5ml_Box_3_31,NMR_B7_35
2023-02-23_5178_10,Box_9_14,p5ml_Box_3_55,NMR_B7_36
2023-08-09_5352_16,Box_4_56,p5ml_Box_3_71,NMR_B7_37
2023-02-17_5204_17,NA,p5ml_Box_4_33,NMR_B7_38
2023-08-08_5516_18,Box_10_12,p5ml_Box_4_43,NMR_B7_39
2023-07-04_5074_18,Box_6_42,p5ml_Box_4_51,NMR_B7_40
2023-08-08_5376_25,Box_2_48,p5ml_Box_4_58,NMR_B7_41
2023-08-09_5264_18,Box_7_76,p5ml_Box_4_75,NMR_B7_42
2023-07-03_5360_4,Box_5_41,p5ml_Box_5_12,NMR_B7_43
2023-09-29_5863_7,Box_10_62,p5ml_Box_5_17,NMR_B7_44
2023-08-09_5272_17,NA,p5ml_Box_5_74,NMR_B7_45
2023-08-09_5476_9,Box_3_69,p5ml_Box_6_11,NMR_B7_46
2023-08-08_5358_12,NA,p5ml_Box_6_34,NMR_B7_47
2023-10-23_5935_15,NA,p5ml_Box_6_48,NMR_B7_48
2023-10-21_6105_12,NA,p5ml_Box_6_65,NMR_B7_49
2023-10-20_6094_5,NA,p5ml_Box_6_69,NMR_B7_50
2023-10-23_5919_11,NA,p5ml_Box_7_13,NMR_B7_51
2023-10-21_6205_9,NA,p5ml_Box_7_2,NMR_B7_52
2023-08-07_5304_20,NA,p5ml_Box_5_13,NMR_B7_53
2023-09-04_5739_3,NA,p5ml_Box_6_1,NMR_B7_24
2023-02-14_5244_8,NA,p5ml_Box_6_10,NMR_B7_25
2023-07-05_5295_5,NA,p5ml_Box_6_12,NMR_B7_26
2023-08-06_5402_14,NA,p5ml_Box_6_16,NMR_B7_27
2023-07-06_5372_17,NA,p5ml_Box_6_17,NMR_B6_76
2023-08-31_5330_12,NA,p5ml_Box_8_35,NMR_B7_54
2856,BOX_14_2024_40,,NMR_B7_55
2023-10-17_5908_7,NA,p5ml_Box_8_4,NMR_B7_56
2023-10-17_6177_13,NA,p5ml_Box_7_69,NMR_B7_57
