UID,FRP,Previous_Box,NMR_Sample_map
2022-12-12_3808_14,YES,NMR_Box_2_10,NMR_B2_10
2022-12-13_3788_25,YES,NMR_Box_2_11,NMR_B2_11
2022-03-30_2934_24,NA,NMR_Box_2_12,NMR_B2_12
2022-03-26_2930_11,YES,NMR_Box_2_13,NMR_B2_13
2022-03-26_2719_4,YES,NMR_Box_2_14,NMR_B2_14
2022-12-08_3845_7,YES,NMR_Box_2_15,NMR_B2_15
2022-12-08_3814_4,YES,NMR_Box_2_16,NMR_B2_16
2022-12-13_3836_7,YES,NMR_Box_2_17,NMR_B2_17
2022-12-09_3774_9,YES,NMR_Box_2_18,NMR_B2_18
2022-12-12_3852_8,YES,NMR_Box_2_19,NMR_B2_19
2022-12-13_3681_6,YES,NMR_Box_2_20,NMR_B2_20
2022-12-12_3663_10,YES,NMR_Box_2_21,NMR_B2_21
2022-12-09_3799_19,YES,NMR_Box_2_22,NMR_B2_22
2022-12-12_3715_21,YES,NMR_Box_2_23,NMR_B2_23
2022-12-13_3698_2,YES,NMR_Box_2_24,NMR_B2_24
2022-12-10_3634_23,YES,NMR_Box_2_25,NMR_B2_25
2022-12-12_3811_17,YES,NMR_Box_2_26,NMR_B2_26
2022-12-14_3689_12,YES,NMR_Box_2_27,NMR_B2_27
2022-12-08_3869_18,YES,NMR_Box_2_28,NMR_B2_28
2022-12-12_3779_16,YES,NMR_Box_2_29,NMR_B2_29
2022-12-09_3792_13,YES,NMR_Box_2_30,NMR_B2_30
2022-12-14_3842_9,YES,NMR_Box_2_31,NMR_B2_31
2022-03-19_2673_10,NA,NMR_Box_2_32,NMR_B2_32
2022-12-10_3800_1,YES,NMR_Box_2_33,NMR_B2_33
2022-12-09_3783_5,YES,NMR_Box_2_34,NMR_B2_34
2022-12-09_3859_24,YES,NMR_Box_2_35,NMR_B2_35
2022-12-13_3771_15,YES,NMR_Box_2_36,NMR_B2_36
2022-12-14_3697_4,YES,NMR_Box_2_37,NMR_B2_37
2022-12-10_3851_17,YES,NMR_Box_2_38,NMR_B2_38
2022-12-14_3830_10,YES,NMR_Box_2_39,NMR_B2_39
2022-12-14_3840_5,YES,NMR_Box_2_40,NMR_B2_40
2022-12-10_3747_13,YES,NMR_Box_2_41,NMR_B2_41
2022-12-13_3801_22,YES,NMR_Box_2_42,NMR_B2_42
2022-12-13_3827_8,YES,NMR_Box_2_43,NMR_B2_43
2022-03-31_2725_8,NA,NMR_Box_2_44,NMR_B2_44
2022-03-26_2714_2,YES,NMR_Box_2_45,NMR_B2_45
2022-03-30_2672_11,NA,NMR_Box_2_46,NMR_B2_46
2022-03-30_2699_8,NA,NMR_Box_2_47,NMR_B2_47
2022-03-26_2715_17,YES,NMR_Box_2_48,NMR_B2_48
2022-03-30_2745_20,NA,NMR_Box_2_49,NMR_B2_49
2022-03-30_2758_9,NA,NMR_Box_2_50,NMR_B2_50
2022-03-26_2760_19,YES,NMR_Box_2_51,NMR_B2_51
2022-12-13_3664_4,YES,NMR_Box_2_52,NMR_B2_52
2023-07-04_5343_5,YES,NMR_Box_2_53,NMR_B2_53
2023-07-04_5373_13,YES,NMR_Box_2_54,NMR_B2_54
2023-07-04_5063_12,YES,NMR_Box_2_55,NMR_B2_55
2023-07-04_5047_1,YES,NMR_Box_2_56,NMR_B2_56
2023-07-04_5328_4,YES,NMR_Box_2_57,NMR_B2_57
2022-06-25_3326_23,YES,NMR_Box_3_1,NMR_B3_1
2022-06-24_3145_7,YES,NMR_Box_3_2,NMR_B3_2
2022-06-23_3165_8,YES,NMR_Box_3_3,NMR_B3_3
2022-06-25_3329_21,YES,NMR_Box_3_4,NMR_B3_4
2022-06-27_3140_19,NA,NMR_Box_3_5,NMR_B3_5
2022-06-26_3353_9,YES,NMR_Box_3_6,NMR_B3_6
2022-06-25_3186_1,YES,NMR_Box_3_7,NMR_B3_7
2022-06-25_3142_24,YES,NMR_Box_3_8,NMR_B3_8
2022-06-24_3157_2,YES,NMR_Box_3_9,NMR_B3_9
2022-06-28_3136_5,NA,NMR_Box_3_10,NMR_B3_10
2022-06-23_3148_11,YES,NMR_Box_3_11,NMR_B3_11
2022-06-25_3200_18,NA,NMR_Box_3_12,NMR_B3_12
2022-12-14_3784_3,YES,NMR_Box_3_13,NMR_B3_13
2022-12-12_3781_19,YES,NMR_Box_3_14,NMR_B3_14
2022-12-14_3817_15,YES,NMR_Box_3_15,NMR_B3_15
2022-08-22_3591_12,NA,NMR_Box_3_16,NMR_B3_16
2022-08-22_3592_13,NA,NMR_Box_3_17,NMR_B3_17
2022-12-12_3846_9,YES,NMR_Box_3_18,NMR_B3_18
2022-12-12_3772_15,YES,NMR_Box_3_19,NMR_B3_19
