StudyID,Who,Population,Sex,N,Biome,Country,Lattitude,Longitude,Region,SerumLevel_mg_dL,SL_SD_mg_dL,HDL_Chol_mg_dL,HDL_SD_mg_dL,LDL_Chol_mg_dL,LDL_SD_mg_dL,Triglyceride_Chol_mg_dL,Triglyceride_SD_mg_dL,ANCESTRY,study_ID_Ancestry
DEL1-A,EM,Indian,F,236,Tropical Rainforest,India,28.61,77.21,Asia,217,42,NA,NA,NA,NA,168,53,Indian,DEL1-A
ORA3-D,AYANA,Orang Asli,M,2,Tropical Rainforest,Peninsular Malyasia,1.818275,103.514601,Asia,NA,NA,27.069,0,83.1405,13.5345,NA,NA,NA,NA
ORA3-D,AYANA,Orang Asli,F,9,Tropical Rainforest,Peninsular Malyasia,1.818275,103.514601,Asia,NA,NA,34.803,11.601,130.7046,23.9754,NA,NA,NA,NA
ORA5-F,EM,Mendriq,M/F,48,Tropical Rainforest,Malaysia,4.8,101,Asia,NA,NA,34.803,NA,NA,NA,117.7981,NA,NA,NA
FIL2-C,Phoebe,Filipino,F,654,Tropical Rainforest,Philippines,10.61,123.89,Asia,NA,NA,35.5,NA,106.1,NA,NA,NA,NA,NA
ORA5-G,EM,Batek,M/F,44,Tropical Rainforest,Malaysia,4.8,101,Asia,NA,NA,36.7365,NA,NA,NA,103.6269,NA,NA,NA
FIL2-E,Phoebe,Filipino,F,241,Tropical Rainforest,Philippines,10.61,123.89,Asia,NA,NA,38.1,NA,132.1,NA,NA,NA,NA,NA
ORA3-A,AYANA,Orang Asli,M,19,Tropical Rainforest,Peninsular Malyasia,3.705986,102.27917,Asia,NA,NA,38.2833,6.9606,90.4878,32.8695,NA,NA,NA,NA
ORA5-B,EM,Jakun,M/F,70,Tropical Rainforest,Malaysia,4.5,101.4,Asia,NA,NA,38.2833,NA,NA,NA,119.5695,NA,NA,NA
ORA3-F,AYANA,Orang Asli,M,19,Tropical Rainforest,Peninsular Malyasia,2.608694,102.987488,Asia,NA,NA,38.67,19.7217,127.2243,46.0173,NA,NA,NA,NA
FIL2-B,Phoebe,Filipino,F,313,Tropical Rainforest,Philippines,10.61,123.89,Asia,NA,NA,38.9,NA,122.1,NA,NA,NA,NA,NA
ORA5-E,EM,Jehai,M/F,105,Tropical Rainforest,Malaysia,5,101,Asia,NA,NA,39.0567,NA,NA,NA,108.0554,NA,Negrito,MALA9-C
FIL2-D,Phoebe,Filipino,F,84,Tropical Rainforest,Philippines,10.61,123.89,Asia,NA,NA,39.8,NA,123.6,NA,NA,NA,NA,NA
MRW1,Gisele,Marwari,M,219,Tropical rainforest,India,22.5726,88.3639,Asia,NA,NA,41.064,NA,NA,NA,NA,NA,Indian,MRW1
ORA3-A,AYANA,Orang Asli,F,24,Tropical Rainforest,Peninsular Malyasia,3.705986,102.27917,Asia,NA,NA,42.537,15.468,107.1159,28.6158,NA,NA,NA,NA
ORA3-B,AYANA,Orang Asli,M,23,Tropical Rainforest,Peninsular Malyasia,5.246734,102.162702,Asia,NA,NA,44.0838,8.8941,97.4484,24.3621,NA,NA,NA,NA
MRW1,Gisele,Marwari,F,180,Tropical rainforest,India,22.5726,88.3639,Asia,NA,NA,44.25,NA,NA,NA,NA,NA,Indian,MRW1
ORA5-D,EM,Semai,M/F,57,Tropical Rainforest,Malaysia,4.5,101.4,Asia,NA,NA,44.8572,NA,NA,NA,119.5695,NA,NA,NA
ORA3-E,AYANA,Orang Asli,M,17,Tropical Rainforest,Peninsular Malyasia,5.757593,100.917471,Asia,NA,NA,45.6306,17.4015,111.3696,36.7365,NA,NA,NA,NA
ORA3-C,AYANA,Orang Asli,F,11,Tropical Rainforest,Peninsular Malyasia,4.907965,100.94535,Asia,NA,NA,46.404,23.202,122.1972,39.0567,NA,NA,NA,NA
ORA3-E,AYANA,Orang Asli,F,39,Tropical Rainforest,Peninsular Malyasia,5.757593,100.917471,Asia,NA,NA,46.404,23.202,119.4903,35.9631,NA,NA,NA,NA
ORA5-C,EM,Mahmeri,M/F,59,Tropical Rainforest,Malaysia,4.5,101.4,Asia,NA,NA,49.4976,NA,NA,NA,130.1979,NA,NA,NA
ORA4,AYANA,Orang Asli,F,89,Tropical Rainforest,Peninsular Malyasia,1.46304,103.753159,Asia,NA,NA,50.271,11.601,131.478,38.67,97.427,53.142,NA,NA
FIL2-A,Phoebe,Filipino,F,476,Tropical Rainforest,Philippines,10.61,123.89,Asia,NA,NA,51.5,NA,128.6,NA,NA,NA,NA,NA
ORA5-A,EM,Seletar,M/F,253,Tropical Rainforest,Malaysia,1.5,103.8,Asia,NA,NA,52.5912,NA,NA,NA,108.0554,NA,NA,NA
DEL1-A,EM,Indian,M,173,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,53,12,117,38,NA,NA,Indian,DEL1-A
DEL1-A,EM,Indian,M,135,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,54,13,119,37,NA,NA,Indian,DEL1-A
DEL1-A,EM,Indian,M,121,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,55,12,121,41,NA,NA,Indian,DEL1-A
ORA3-B,AYANA,Orang Asli,F,4,Tropical Rainforest,Peninsular Malyasia,5.246734,102.162702,Asia,NA,NA,56.0715,3.867,99.7686,20.4951,NA,NA,NA,NA
DEL1-A,EM,Indian,M,110,Tropical Rainforest,India,28.61,77.21,Asia,NA,NA,58,14,115,42,NA,NA,Indian,DEL1-A
ORA3-F,AYANA,Orang Asli,F,19,Tropical Rainforest,Peninsular Malyasia,2.608694,102.987488,Asia,NA,NA,65.739,19.335,137.2785,40.6035,NA,NA,NA,NA
ORA3-C,AYANA,Orang Asli,M,15,Tropical Rainforest,Peninsular Malyasia,4.907965,100.94535,Asia,NA,NA,83.1405,13.5345,125.6775,34.803,NA,NA,NA,NA
MRW1,Gisele,Marwari,M,349,Tropical rainforest,India,22.5726,88.3639,Asia,NA,NA,NA,NA,NA,NA,122.957,NA,Indian,MRW1
MRW1,Gisele,Marwari,F,305,Tropical rainforest,India,22.5726,88.3639,Asia,NA,NA,NA,NA,NA,NA,110.816,NA,Indian,MRW1
ESK8,EM,Yakut,M,65,Tundra,Russia,62,130,Asia,182.9091,42.9237,49.1109,16.2414,126.0642,38.67,54.9134,NA,Siberian,ESK8
ESK8,EM,Yakut,F,101,Tundra,Russia,62,130,Asia,200.3106,48.3375,54.5247,14.6946,140.3721,44.8572,52.2563,NA,Siberian,ESK8
CHN2,Emily,Chinese,M,1160,urban,China,23.18722,113.30334,Asia,196.8303,48.3375,46.7907,14.6946,131.8647,42.537,126.6551,102.7412,Chinese,CHN10
CHN2,Emily,Chinese,F,2780,urban,China,23.18722,113.30334,Asia,213.0717,51.0444,56.0715,18.1749,139.212,45.6306,115.141,85.9129,Chinese,CHN10
NA,Benja,Tibetian,Overall,587,Urban,NA,29,NA,Asia,197.6037,39.8301,56.4582,11.601,124.1307,35.5764,NA,NA,Tibet,TBT1
ISR1-A,Ashley,N. Bedouins,M,11,Woodland,Israel,31.0461,34.8516,Asia,182.6,28.3,NA,NA,NA,NA,NA,NA,Middle_Eastern_Ancestry,ISR1-A
ISR1-A,Ashley,N. Bedouins,M,9,Woodland,Israel,31.0461,34.8516,Asia,183.5,23.9,NA,NA,NA,NA,NA,NA,Middle_Eastern_Ancestry,ISR1-A
TRK2,Emily,Turks,M,953,woodland,Turkey,", 39.262049",", 35.336038",Asia,184.6,37.6,38.7,11.4,113.2,31.5,125.8,1.7,Middle_Eastern_Ancestry,TRK2
ISR1-C,Ashley,N. semirecent Yemenites,M,19,Woodland,Israel,31.0461,34.8516,Asia,187,28.5,NA,NA,NA,NA,NA,NA,Yemenites,ISR1
ISR1-F,Ashley,N. Europeans,M,19,Woodland,Israel,31.0461,34.8516,Asia,187,28.5,NA,NA,NA,NA,NA,NA,Northern_European,ISR1-F
TRK2,Emily,Turks,F,1014,woodland,Turkey,", 39.262049",", 35.336038",Asia,192.6,39.9,46,12.4,119.2,34.3,100,1.6,Middle_Eastern_Ancestry,TRK2
ISR1-C,Ashley,N. semirecent Yemenites,M,13,Woodland,Israel,31.0461,34.8516,Asia,195,22.4,NA,NA,NA,NA,NA,NA,Yemenites,ISR1
ISR1-F,Ashley,N. Europeans,M,10,Woodland,Israel,31.0461,34.8516,Asia,211.7,35.1,NA,NA,NA,NA,NA,NA,Northern_European,ISR1-F
TRK1,Emily,Turks,M,1492,woodland,Turkey,39.09598,34.808695,Asia,NA,NA,37.5,11.5,NA,NA,NA,NA,Middle_Eastern_Ancestry,TRK2
TRK1,Emily,Turks,F,1543,woodland,Turkey,39.09598,34.808695,Asia,NA,NA,47.5,12.8,NA,NA,NA,NA,Middle_Eastern_Ancestry,TRK2
TRK1,Emily,Turks,F,"1322, 1240",woodland,Turkey,39.09598,34.808695,Asia,NA,NA,NA,NA,119,NA,NA,NA,Middle_Eastern_Ancestry,TRK2
TRK1,Emily,Turks,M,"1322, 1240",woodland,Turkey,39.09598,34.808695,Asia,NA,NA,NA,NA,114,NA,NA,NA,Middle_Eastern_Ancestry,TRK2
CHN4-A,Emily,Uygur,M/F,1379,,China,40.109102,85.671277,Asia,166.281,34.803,37.8966,9.2808,96.675,27.069,177.14,123.998,Chinese,CHN4-A
CHN5-A,Emily,Uygur,M/F,1571,,China,40.109102,85.671277,Asia,178.6554,NA,NA,NA,NA,NA,185.1113,85.0272,Chinese,CHN4-A
CHN4-B,Emily,Kazak,M/F,1123,,China,40.109102,85.671277,Asia,193.35,27.069,54.138,19.335,85.074,38.67,123.998,115.141,Central_Asian,CHN13
CHN14,Phoebe,Chinese,M,943,,China,39.9042,116.4074,Asia,197.217,88.941,50.271,11.601,123.744,30.936,NA,70.856,Chinese,CHN10
CHN5-B,Emily,Kazak,M/F,2913,,China,40.109102,85.671277,Asia,197.9904,NA,NA,NA,NA,NA,116.0267,124.8837,Central_Asian,CHN13
CHN14,Phoebe,Chinese,F,1391,,China,39.9042,116.4074,Asia,212.685,38.67,54.138,19.335,131.478,42.537,NA,97.427,Chinese,CHN10
CHN17-B,Ashley,Chinese MetS,M,87,,China,41.8048,123.433,Asia,NA,NA,42.537,NA,119.877,NA,NA,NA,NA,NA
CHN17-B,Ashley,Chinese MetS,F,39,,China,41.8048,123.433,Asia,NA,NA,42.537,NA,123.744,NA,NA,NA,NA,NA
CHN17-C,Ashley,Chinese Newly MetS,M,42,,China,41.8048,123.433,Asia,NA,NA,46.404,NA,123.744,34.803,NA,NA,NA,NA
CHN17-A,Ashley,Chinese Non-MetS at follow-up,M,69,,China,41.8048,123.433,Asia,NA,NA,50.271,NA,116.01,30.936,NA,NA,NA,NA
CHN17-A,Ashley,Chinese Non-MetS,M,111,,China,41.8048,123.433,Asia,NA,NA,50.271,NA,116.01,NA,NA,NA,NA,NA
CHN17-A,Ashley,Chinese Non-MetS,F,142,,China,41.8048,123.433,Asia,NA,NA,58.005,NA,119.877,NA,NA,NA,NA,NA
CHN17-C,Ashley,Chinese Newly MetS,F,34,,China,41.8048,123.433,Asia,NA,NA,58.005,NA,131.478,34.803,NA,NA,NA,NA
CHN17-A,Ashley,Chinese Non-MetS at follow-up,F,108,,China,41.8048,123.433,Asia,NA,NA,61.872,NA,119.877,30.936,NA,NA,NA,NA
NA,Benja,India Rural,Overall,1452,Savanna,NA,19,NA,Asia Pacific region,154,38,39,12,89,32,NA,NA,Indian,INDI2
NA,Benja,Russia Rural Men,Men,1459,Taiga,NA,59,NA,Asia Pacific region,205.3377,46.0173,51.0444,12.3744,127.9977,39.4434,NA,NA,Russian,RUS3
NA,Benja,Russian Rural Total,Overall,4032,Taiga,NA,59,NA,Asia Pacific region,212.685,46.404,55.2981,13.1478,133.4115,39.8301,NA,NA,Russian,RUS8
NA,Benja,Russia Rural Women,Women,2573,Taiga,NA,59,NA,Asia Pacific region,216.9387,46.0173,57.6183,13.1478,136.5051,39.8301,NA,NA,Russian,RUS4
NA,Benja,Samoan Male,Men,1421,Tropical,NA,13,NA,Asia Pacific region,201.084,38.67,50.271,11.601,146.946,42.537,NA,NA,SAMOAN,SAM2
NA,Benja,Samoan Female,Women,2030,Tropical,NA,13,NA,Asia Pacific region,201.084,34.803,54.138,11.601,150.813,38.67,NA,NA,SAMOAN,SAM1
NA,Benja,India Overall,Overall,2042,Urban,NA,19,NA,Asia Pacific region,158,40,39,12,91,32,NA,NA,Indian,INDIA
NA,Benja,Indian Urban,Overall,590,Urban,NA,19,NA,Asia Pacific region,167,43,39,12,97,33,NA,NA,Indian,INDI3
NA,Benja,China_Women,Women,93929,Urban,NA,32,NA,Asia Pacific region,180.9756,39.0567,54.5247,14.3079,110.9829,34.0296,NA,NA,Chinese,CHNB3
NA,Benja,China Overall,Overall,163641,Urban,NA,32,NA,Asia Pacific region,181.749,39.0567,52.2045,15.0813,111.3696,34.0296,NA,NA,Chinese,CHNBE
NA,Benja,China_Men,Men,69712,Urban,NA,32,NA,Asia Pacific region,182.1357,38.67,49.8843,15.0813,111.7563,33.6429,NA,NA,Chinese,CHNB2
NA,Benja,Tibet Male,Men,139,Urban,NA,29,NA,Asia Pacific region,182.1357,42.537,55.2981,19.335,112.143,30.936,NA,NA,Tibet,TBT1M
NA,Benja,South Korea Men,Men,4029,Urban,NA,35,NA,Asia Pacific region,183,37.8,48.3,12,109,33.9,NA,NA,Asian,SK
NA,Benja,Tibet Female,Women,232,Urban,NA,29,NA,Asia Pacific region,183.6825,38.67,58.005,15.468,108.6627,27.069,NA,NA,Tibet,TBT1F
NA,Benja,Japan Men,Men,3118,Urban,NA,35,NA,Asia Pacific region,186,34.3,48.7,13.4,111.5,31.8,NA,NA,Japanese,JAP3
NA,Benja,South Korea Women,Women,4787,Urban,NA,35,NA,Asia Pacific region,186.9,37.8,51.9,12.6,113,33.7,NA,NA,Asian,SK
NA,Benja,Japan Women,Women,4871,Urban,NA,35,NA,Asia Pacific region,199.2,33.7,52.5,12.4,124.3,31,NA,NA,Japanese,JAP4
NA,Benja,Japan Amagasaki Study,Overall,1178,Urban,NA,35,NA,Asia Pacific region,199.92,32.87,55.3,13.148,116,29,NA,NA,Japanese,JAP1
NA,Benja,China Guangzhou Occupational,Overall,9106,Urban,NA,32,NA,Asia Pacific region,201.084,38.67,50.271,19.335,127.611,42.537,NA,NA,Chinese,CGO
NA,Benja,Japan Civil Service workers,Overall,8910,Urban,NA,35,NA,Asia Pacific region,201.084,34.803,54.138,15.468,119.877,30.936,NA,NA,Japanese,JAP2
NA,Benja,Russia Urban Men,Men,6479,Urban,NA,59,NA,Asia Pacific region,204.951,44.4705,49.8843,12.7611,130.3179,38.2833,NA,NA,Russian,RUS6
NA,Benja,Singapore NHS92,Overall,3223,Urban,NA,-2,NA,Asia Pacific region,204.951,38.67,50.271,11.601,135.345,34.803,NA,NA,Asian,Singa
NA,Benja,Russia Higher,Overall,9168,Urban,NA,59,NA,Asia Pacific region,206.4978,44.4705,54.9114,13.5345,128.7711,38.67,NA,NA,Russian,RUS1
NA,Benja,Russia primary education,Overall,919,Urban,NA,59,NA,Asia Pacific region,208.4313,46.7907,52.9779,13.5345,133.4115,40.2168,NA,NA,Russian,RUS2
NA,Benja,Russia Secondary,Overall,11078,Urban,NA,59,NA,Asia Pacific region,208.4313,46.7907,54.138,13.5345,133.4115,40.2168,NA,NA,Russian,RUS5
NA,Benja,Thailand INTERASIA,Overall,4876,Urban,NA,15,NA,Asia Pacific region,208.818,46.404,46.404,11.601,135.345,42.537,NA,NA,Asian,THAI
NA,Benja,Russia Urban Total,Overall,17133,Urban,NA,59,NA,Asia Pacific region,208.818,45.6306,54.138,13.5345,130.7046,39.4434,NA,NA,Russian,RUS7
NA,Benja,Russian Urban Women,Women,10654,Urban,NA,59,NA,Asia Pacific region,210.7515,46.0173,56.8449,13.5345,131.0913,40.2168,NA,NA,Russian,RUS9
AUA9,Phoebe,Aboriginal Australian,F,321,Savanna,Australia,-25.2744,133.7751,Austrailia,166.281,38.67,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,AUA9
AUA9,Phoebe,Aboriginal Australian,M,365,Savanna,Australia,-25.2744,133.7751,Austrailia,185.616,42.537,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,AUA9
AUA1-A,FION,Austrailian Aborginies (ACR1),M/F,102,Savanna,Australia,-25.2744,133.7751,Austrailia,NA,NA,NA,NA,123.744,NA,NA,NA,NA,NA
AUA1-B,FION,Austrailian Aborginies (ACR2),M/F,102,Savanna,Australia,-25.2744,133.7751,Austrailia,NA,NA,NA,NA,139.212,NA,NA,NA,NA,NA
AUA1-C,FION,Austrailian Aborginies (ACR3),M/F,102,Savanna,Australia,-25.2744,133.7751,Austrailia,NA,NA,NA,NA,139.212,NA,NA,NA,NA,NA
AUA1-D,FION,Austrailian Aborginies (ACR4),M/F,102,Savanna,Australia,-25.2744,133.7751,Austrailia,NA,NA,NA,NA,166.281,NA,NA,NA,NA,NA
AUA2,AYANA,Australian Aborigines,M/F,67,Savanna,Australia,-11.14879,132.58001,Australia,43.6971,NA,NA,NA,NA,NA,160.3117,15.0569,Australian_Aboriginal,AUA2
AUA4,EM,Australian Aborigines,F,264,Savanna,Australia,-12.44,130.84,Australia,178.6554,35.1897,46.0173,12.7611,110.2095,32.0961,101.8555,NA,Australian_Aboriginal,AUA2
NA,Benja,Australia Aboriginals_Female,Women,337,Savanna,NA,-25.2744,NA,Australia,179.4288,7.734,33.2562,1.5468,144.2391,7.734,NA,NA,Australian_Aboriginal,AUSa
NA,Benja,Australia TSI Women_Female,Women,144,Savanna,NA,-25.2744,NA,Australia,179.4288,15.0813,38.67,3.4803,137.2785,15.0813,NA,NA,Australian_Aboriginal,TSI1
NA,Benja,Australia TSI Women_Male,Men,160,Savanna,NA,-25.2744,NA,Australia,187.1628,13.5345,38.67,4.6404,145.3992,14.3079,NA,NA,Australian_Aboriginal,TSI1
AUA4,EM,Australian Aborigines,M,130,Savanna,Australia,-12.44,130.84,Australia,192.5766,45.2439,42.9237,11.601,121.0371,37.8966,124.8837,NA,Australian_Aboriginal,AUA2
NA,Benja,Australia Aboriginals_Male,Men,284,Savanna,NA,-25.2744,NA,Australia,194.8968,33.2562,30.5493,1.9335,161.6406,11.2143,NA,NA,Australian_Aboriginal,AUSa
AUA4,EM,Australian Aborigines,F,325,Savanna,Australia,-12.44,130.84,Australia,201.084,35.9631,45.6306,13.1478,123.744,31.7094,144.3691,NA,Australian_Aboriginal,AUA2
AUA4,EM,Australian Aborigines,M,142,Savanna,Australia,-12.44,130.84,Australia,206.8845,51.4311,39.0567,11.2143,122.9706,39.8301,193.0826,NA,Australian_Aboriginal,AUA2
AUA2,AYANA,Australian Aborigines,M/F,68,Savanna,Australia,-11.14879,132.58001,Australia,229.3131,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,AUA2
TOR1-A,Ashley,Torres Strait Islanders,F,183,Savanna,Australia,-10.2199,141.9369,Australia,NA,NA,NA,NA,NA,NA,147.0262,NA,NA,NA
TOR1-A,Ashley,Torres Strait Islanders,M,186,Savanna,Australia,-10.2199,141.9369,Australia,NA,NA,NA,NA,NA,NA,185.1113,NA,NA,NA
TOR1-B,Ashley,Aboriginals,F,379,Savanna,Australia,-25.2744,133.7751,Australia,NA,NA,NA,NA,NA,NA,172.7115,NA,NA,NA
TOR1-B,Ashley,Aboriginals,M,296,Savanna,Australia,-25.2744,133.7751,Australia,NA,NA,NA,NA,NA,NA,244.4532,NA,NA,NA
AUA2,AYANA,Australian Aborigines,M/F,50,Savanna,Australia,-11.14879,132.58001,Australia,NA,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,AUA2
AUA7-B,EM,Australian Aborigines,M/F,4,Temperate Shrubland,Australia,-15.96,125.05,Australia,158.9337,NA,NA,NA,NA,NA,139.0549,NA,Australian_Aboriginal,AUA2
AUA7-A,EM,Australian Aborigines,M/F,10,Temperate Shrubland,Australia,-15.96,125.05,Australia,218.4855,NA,NA,NA,NA,NA,356.0514,NA,Australian_Aboriginal,AUA2
LOO1,AYANA,Looma (1997),F,35,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,143.079,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
LOO1,AYANA,Looma (1996),F,52,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,158.547,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
LOO1,AYANA,Looma (1997),M,28,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,162.414,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
LOO1,AYANA,Looma (1993),F,51,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,170.148,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
LOO1,AYANA,Looma (1996),M,42,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,174.015,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
LOO1,AYANA,Looma (1997),F,42,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,185.616,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
LOO1,AYANA,Looma (1993),M,51,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,185.616,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
LOO1,AYANA,Looma (1997),M,29,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,185.616,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
LOO1,AYANA,Looma (1996),F,47,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,189.483,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
LOO1,AYANA,Looma (1993),F,50,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,193.35,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
LOO1,AYANA,Looma (1996),M,40,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,197.217,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
LOO1,AYANA,Looma (1993),M,47,Tropical Rainforest,Australia,-18.039138,124.4938,Australia,204.951,NA,NA,NA,NA,NA,NA,NA,Australian_Aboriginal,LOO1
NA,Benja,Australia,Overall,1274,Urban,NA,NA,NA,Australia,208.0446,1.5468,56.4582,0.3867,124.9041,1.5468,NA,NA,mixed,NA
NA,Benja,Australia ANHF study,Overall,8924,Urban,NA,NA,NA,Australia,212.685,42.537,50.271,15.468,135.345,38.67,NA,NA,mixed,AUSG
AUA15,Emily,Tiwi,M/F,1187,woodland,Australia,-11.707897,130.820859,Australia,181.749,NA,46.404,NA,98.6085,NA,132.855,NA,Australian_Aboriginal,AUA15
GUA1-A,EM,Maya,M,16,Tropical Rainforest,Guatemala,15.73,-91.57,Central America,136,NA,NA,NA,NA,NA,NA,NA,SA_Indegenous,GUA1-A
GUA1-A,EM,Maya,F,9,Tropical Rainforest,Guatemala,15.73,-91.57,Central America,138,NA,NA,NA,NA,NA,NA,NA,SA_Indegenous,GUA1-A
GUA1-A,EM,Maya,M,13,Tropical Rainforest,Guatemala,15.73,-91.57,Central America,139,NA,NA,NA,NA,NA,NA,NA,SA_Indegenous,GUA1-A
GUA1-A,EM,Maya,M,34,Tropical Rainforest,Guatemala,15.73,-91.57,Central America,143,NA,NA,NA,NA,NA,NA,NA,SA_Indegenous,GUA1-A
GUA1-A,EM,Maya,M,18,Tropical Rainforest,Guatemala,15.73,-91.57,Central America,144,NA,NA,NA,NA,NA,NA,NA,SA_Indegenous,GUA1-A
GUA1-A,EM,Maya,F,22,Tropical Rainforest,Guatemala,15.73,-91.57,Central America,147,NA,NA,NA,NA,NA,NA,NA,SA_Indegenous,GUA1-A
GUA1-A,EM,Maya,F,15,Tropical Rainforest,Guatemala,15.73,-91.57,Central America,156,NA,NA,NA,NA,NA,NA,NA,SA_Indegenous,GUA1-A
RIC1-A,EM,Costa Rican,M,37,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,158,NA,40,NA,93,NA,137,NA,Costa_Rican,RIC1-A
RIC1-A,EM,Costa Rican,F,47,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,167,NA,45,NA,109,NA,98,NA,Costa_Rican,RIC1-A
GUA1-A,EM,Maya,F,11,Tropical Rainforest,Guatemala,15.73,-91.57,Central America,172,NA,NA,NA,NA,NA,NA,NA,SA_Indegenous,GUA1-A
RIC1-B,EM,Costa Rican,F,41,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,174,NA,43,NA,109,NA,107,NA,Costa_Rican,RIC1-A
RIC1-B,EM,Costa Rican,M,49,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,175,NA,41,NA,107,NA,150,NA,Costa_Rican,RIC1-A
RIC1-A,EM,Costa Rican,M,38,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,179,NA,43,NA,110,NA,132,NA,Costa_Rican,RIC1-A
RIC1-A,EM,Costa Rican,F,44,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,181,NA,44,NA,116,NA,131,NA,Costa_Rican,RIC1-A
RIC1-A,EM,Costa Rican,M,36,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,182,NA,40,NA,111,NA,182,NA,Costa_Rican,RIC1-A
RIC1-B,EM,Costa Rican,F,50,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,186,NA,44,NA,116,NA,129,NA,Costa_Rican,RIC1-A
RIC1-B,EM,Costa Rican,M,29,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,189,NA,38,NA,110,NA,232,NA,Costa_Rican,RIC1-A
PRC1-A,EM,Puerto Rican,M,1298,Tropical Rainforest,Puerto Rico,18.37,-66.1,Central America,195,NA,NA,NA,NA,NA,NA,NA,Puerto_Rican,PRC1-A
PRC1-A,EM,Puerto Rican,M,1282,Tropical Rainforest,Puerto Rico,18.37,-66.1,Central America,196,NA,NA,NA,NA,NA,NA,NA,Puerto_Rican,PRC1-A
RIC1-B,EM,Costa Rican,M,33,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,197,NA,37,NA,120,NA,204,NA,Costa_Rican,RIC1-A
PRC1-B,EM,Puerto Rican,M,2581,Tropical Rainforest,Puerto Rico,18.3,-66.25,Central America,202,NA,NA,NA,NA,NA,NA,NA,Puerto_Rican,PRC1-A
RIC1-A,EM,Costa Rican,F,32,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,203,NA,46,NA,124,NA,168,NA,Costa_Rican,RIC1-A
RIC1-B,EM,Costa Rican,F,29,Tropical Rainforest,Costa Rica,9.73,-84.37,Central America,206,NA,47,NA,124,NA,170,NA,Costa_Rican,RIC1-A
PRC1-B,EM,Puerto Rican,M,3624,Tropical Rainforest,Puerto Rico,18.3,-66.25,Central America,207,NA,NA,NA,NA,NA,NA,NA,Puerto_Rican,PRC1-A
GUA2-B,Victoria,Guatemalan,M,76,Tropical Rainforest,Guatemala,14.6349,-90.5069,Central America,NA,NA,37.1232,8.8941,102.8622,27.8424,123.998,72.6274,Guatemalan,GUA1-B
GUA2-C,Victoria,Guatemalan,M,58,Tropical Rainforest,Guatemala,15.7835,-90.2308,Central America,NA,NA,37.1232,6.1872,102.0888,23.9754,103.6269,54.0277,Guatemalan,GUA1-B
GUA2-A,Victoria,Guatemalan,M,103,Tropical Rainforest,Guatemala,15.7835,-90.2308,Central America,NA,NA,37.8966,6.9606,88.941,23.9754,124.8837,66.4275,Guatemalan,GUA1-B
GUA2-A,Victoria,Guatemalan,F,175,Tropical Rainforest,Guatemala,15.7835,-90.2308,Central America,NA,NA,39.8301,8.1207,105.9558,25.9089,131.0836,88.57,Guatemalan,GUA1-B
GUA2-C,Victoria,Guatemalan,F,18,Tropical Rainforest,Guatemala,15.7835,-90.2308,Central America,NA,NA,40.9902,8.8941,93.9681,22.0419,NA,43.3993,Guatemalan,GUA1-B
