StudyID,Who,Population,Sex,N,Biome,Country,Lattitude,Longitude,Region,SerumLevel_mg_dL,SL_SD_mg_dL,HDL_Chol_mg_dL,HDL_SD_mg_dL,LDL_Chol_mg_dL,LDL_SD_mg_dL,Triglyceride_Chol_mg_dL,Triglyceride_SD_mg_dL,ANCESTRY,study_ID_Ancestry
BAN1-B,KIKI,Bantu medical students,,14,Warm-temperate desert,Botswana,-19,22.937506,Africa,197,24,NA,NA,NA,NA,95,NA,Bantu,BAN1
BAN1-C,KIKI,Bantu hospital workers,,50,Warm-temperate desert,Botswana,-19,22.937506,Africa,197,54,NA,NA,NA,NA,132,NA,Bantu,BAN1
MAAS4-B,EM,Maasai,M,26,Warm-temperate desert,Kenya,-1.17,36.49,Africa,202.88,47.33,NA,NA,NA,NA,158.85,68.12,Nilote,MAAS3
SWU1,"FION,BEVERLY",South Western Uganda,M,1085,,Uganda,1.373333,32.290275,Africa,112.143,NA,30.936,NA,65.739,NA,NA,NA,Bantu,SWU1
SWU1,FION,South Western Uganda,M,558,,Uganda,1.373333,32.290275,Africa,119.877,NA,34.803,NA,69.606,NA,NA,NA,Bantu,SWU1
SWU1,"FION, BEVERLY",South Western Uganda,F,1013,,Uganda,1.373333,32.290275,Africa,127.611,NA,34.803,NA,73.473,NA,NA,NA,Bantu,SWU1
SWU1,FION,South Western Uganda,M,455,,Uganda,1.373333,32.290275,Africa,135.345,NA,38.67,NA,77.34,NA,NA,NA,Bantu,SWU1
SWU1,FION,South Western Uganda,F,711,,Uganda,1.373333,32.290275,Africa,135.345,NA,38.67,NA,77.34,NA,NA,NA,Bantu,SWU1
SWU1,FION,South Western Uganda,M,407,,Uganda,1.373333,32.290275,Africa,139.212,NA,42.537,NA,73.473,NA,NA,NA,Bantu,SWU1
SWU1,FION,South Western Uganda,F,679,,Uganda,1.373333,32.290275,Africa,143.079,NA,42.537,NA,81.207,NA,NA,NA,Bantu,SWU1
SWU1,"FION, BEVERLY",South Western Uganda,M,566,,Uganda,1.373333,32.290275,Africa,143.079,NA,42.537,NA,77.34,NA,NA,NA,Bantu,SWU1
SWU1,FION,South Western Uganda,F,551,,Uganda,1.373333,32.290275,Africa,146.946,NA,42.537,NA,85.074,NA,NA,NA,Bantu,SWU1
SWU1,FION,South Western Uganda,F,842,,Uganda,1.373333,32.290275,Africa,162.414,NA,42.537,NA,96.675,NA,NA,NA,Bantu,SWU1
NA,Benja,Inuits WATCH study_Males,Men,1845,Tundra,NA,63,NA,ALASKA general,NA,NA,55.5,16.8,125.6,39.1,NA,NA,Circumpolar,WATCH
NA,Benja,Inuits WATCH study_Females,Women,2140,Tundra,NA,63,NA,ALASKA general,NA,NA,63.9,18.1,125.6,39.1,NA,NA,Circumpolar,WATCH
INU13,Victoria,Inuit,M,1272,Arctic Tundra,Greenland,71.7069,-42.6043,Arctic,224.286,NA,58.005,NA,139.212,NA,88.57,NA,Circumpolar,INU13
INU13,Victoria,Inuit,F,1161,Arctic Tundra,Greenland,71.7069,-42.6043,Arctic,224.286,NA,65.739,NA,135.345,NA,88.57,NA,Circumpolar,INU13
CHN13,Phoebe,Kazak,F,548,Grassland,CHina,40.109102,85.671277,Asia,196.9,NA,50.2,NA,73.4,NA,NA,NA,Central_Asian,CHN13
CHN13,Phoebe,Kazak,M,380,Grassland,CHina,40.109102,85.671277,Asia,208.5,NA,42.4,NA,88.8,NA,NA,NA,Central_Asian,CHN13
CHN11,Phoebe,Chinese,F,603,subtripical rainforest,China,22.3193,114.1694,Asia,185.2293,1.5468,NA,NA,NA,NA,NA,NA,Chinese,CHN10
CHN10,Phoebe,Chinese,M/F,1679,subtripical rainforest,China,22.3193,114.1694,Asia,193.35,34.803,50.271,11.601,NA,NA,NA,61.999,Chinese,CHN10
CHN11,Phoebe,Chinese,M,910,subtripical rainforest,China,22.3193,114.1694,Asia,203.0175,1.1601,NA,NA,NA,NA,NA,NA,Chinese,CHN10
CHN19-C,Gisele,Chinese,M,100,Subtropical forest,Taiwan,23.6978,120.9605,Asia,188.4,5.41,33,1.4,NA,NA,NA,NA,Chinese,CHN10
CHN19-C,Gisele,Chinese,F,98,Subtropical forest,Taiwan,23.6978,120.9605,Asia,205.9,5.68,35.8,1.65,NA,NA,NA,NA,Chinese,CHN10
YAK1-B,Emily,Yakut (urban),M,52,taiga,Russia,61.105348,127.364869,Asia,164.8,38.9,44.3,13.4,103.7,32.3,84,39.2,Siberian,YAK1-B
YAK1-B,Emily,Yakut (urban),F,76,taiga,Russia,61.105348,127.364869,Asia,176.6,39,51.9,15.5,109.2,31.6,80.1,47.7,Siberian,YAK1-B
YAK1-A,Emily,Yakut (rural),F,52,taiga,Russia,61.105348,127.364869,Asia,182.1,34.3,47.1,14.3,119.7,29.4,75.9,32.3,Siberian,YAK1-A
YAK1-A,Emily,Yakut (rural),M,21,taiga,Russia,61.105348,127.364869,Asia,184.4,33.9,41.9,11.9,121.3,30.1,106.1,52.1,Siberian,YAK1-A
TURK3,Ashley,Turks,M,1492,Temperate,Turkey,41.0082,28.9784,Asia,NA,NA,37.5,11.5,114,32,NA,NA,Middle_Eastern_Ancestry,TRK2
TURK3,Ashley,Turks,F,1543,Temperate,Turkey,41.0082,28.9784,Asia,NA,NA,47.5,12.8,119,34,NA,NA,Middle_Eastern_Ancestry,TRK2
KOR1-A,Phoebe,Korean,M,2240,temperate deciduous forest,Korea,35.9078,127.7669,Asia,188.1,35.9,49.2,12.7,110.7,38.2,NA,124.3,East_Asian,KOR1-A
KOR1-A,Phoebe,Korean,F,2784,temperate deciduous forest,Korea,35.9078,127.7669,Asia,198,36.1,50.2,11.8,121.3,34.2,NA,94.7,East_Asian,KOR1-A
KOR1-B,Phoebe,Korean,F,2497,temperate deciduous forest,Korea,35.9078,127.7669,Asia,200.7,37.4,52,11.8,124,34.6,NA,82.8,East_Asian,KOR1-A
KOR1-B,Phoebe,Korean,M,2523,temperate deciduous forest,Korea,35.9078,127.7669,Asia,206.3,35.5,46.6,10.4,130.2,35.8,NA,112.9,East_Asian,KOR1-A
JAP4,Phoebe,Japanese,M,71,temperate rainforest,Japan,36.2048,138.2529,Asia,198.1,38.8,56.2,13.9,112.9,30.2,NA,150,Japanese,JAP4
JAP4,Phoebe,Japanese,F,113,temperate rainforest,Japan,36.2048,138.2529,Asia,217.1,35.1,55.9,10.7,132.9,26.7,NA,81.7,Japanese,JAP4
TURK2-A,Ashley,Turks,M,27,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,35.4,10,NA,NA,106,67,Middle_Eastern_Ancestry,TRK2
TURK2-A,Ashley,Turks,M,346,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,35.6,11,NA,NA,150,99,Middle_Eastern_Ancestry,TRK2
TURK2-A,Ashley,Turks,M,319,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,36.3,12,NA,NA,163,101,Middle_Eastern_Ancestry,TRK2
